split,id,landmark_index,ere,ere_mm,true_radial_error_px,true_radial_error_mm
validation,RBS21235637_3R,1,6.668102264404297,0.46724122762680054,2.0,0.14014220237731934
validation,RBS21235637_3R,2,9.343360900878906,0.6546996831893921,5.0,0.35035550594329834
validation,RBS21235637_3R,3,7.412537574768066,0.519404411315918,3.0,0.210213303565979
validation,RBS21235637_3R,4,6.596380710601807,0.4622156322002411,8.246211051940918,0.5778211355209351
validation,RBS21235637_3R,5,11.797811508178711,0.826685905456543,19.02629852294922,1.3331936597824097
validation,RBS21235637_3R,6,4.7404093742370605,0.3321659564971924,3.0,0.210213303565979
validation,RBS21235637_3R,7,7.696743965148926,0.5393190383911133,3.0,0.210213303565979
validation,RBS22047504_6L,1,5.913578033447266,0.4143710136413574,7.0,0.4904977083206177
validation,RBS22047504_6L,2,6.424612998962402,0.45017990469932556,8.0,0.5605688095092773
validation,RBS22047504_6L,3,5.068569183349609,0.355160117149353,9.433980941772461,0.6610494256019592
validation,RBS22047504_6L,4,5.935105323791504,0.4158795177936554,8.0,0.5605688095092773
validation,RBS22047504_6L,5,4.761023998260498,0.33361005783081055,6.7082037925720215,0.47005122900009155
validation,RBS22047504_6L,6,5.122176647186279,0.3589167594909668,2.0,0.14014220237731934
validation,RBS22047504_6L,7,5.270679950714111,0.36932262778282166,5.099019527435303,0.35729390382766724
validation,RBS14311741_7L,1,5.158725738525391,0.36147764325141907,5.099019527435303,0.35729390382766724
validation,RBS14311741_7L,2,4.886094570159912,0.3423740863800049,5.385164737701416,0.37734442949295044
validation,RBS14311741_7L,3,4.1818060874938965,0.2930237054824829,12.529964447021484,0.8779883980751038
validation,RBS14311741_7L,4,4.839039325714111,0.3390767574310303,3.1622776985168457,0.2215842753648758
validation,RBS14311741_7L,5,4.41359806060791,0.309265673160553,3.605551242828369,0.25264495611190796
validation,RBS14311741_7L,6,7.441013813018799,0.5213993787765503,2.0,0.14014220237731934
validation,RBS14311741_7L,7,6.99780797958374,0.4903443455696106,14.142135620117188,0.9909549951553345
validation,RBS16109208_5L,1,7.40588903427124,0.5189387202262878,3.605551242828369,0.25264495611190796
validation,RBS16109208_5L,2,6.725530624389648,0.47126534581184387,5.385164737701416,0.37734442949295044
validation,RBS16109208_5L,3,4.498361587524414,0.31520506739616394,4.242640495300293,0.2972865104675293
validation,RBS16109208_5L,4,5.536329746246338,0.38793647289276123,5.099019527435303,0.35729390382766724
validation,RBS16109208_5L,5,6.834042549133301,0.47886884212493896,18.601076126098633,1.30339777469635
validation,RBS16109208_5L,6,4.764159202575684,0.3338300585746765,3.0,0.210213303565979
validation,RBS16109208_5L,7,6.256690979003906,0.43841344118118286,8.0,0.5605688095092773
validation,RBS18795070_7L,1,6.766241550445557,0.4741179943084717,11.0,0.7707821130752563
validation,RBS18795070_7L,2,6.569914817810059,0.4603613018989563,3.0,0.210213303565979
validation,RBS18795070_7L,3,5.698723793029785,0.39931589365005493,5.830951690673828,0.4085812270641327
validation,RBS18795070_7L,4,5.299502372741699,0.3713419437408447,5.0,0.35035550594329834
validation,RBS18795070_7L,5,6.3456525802612305,0.444646954536438,1.0,0.07007110118865967
validation,RBS18795070_7L,6,6.569926738739014,0.4603619873523712,3.1622776985168457,0.2215842753648758
validation,RBS18795070_7L,7,7.475419998168945,0.5238108038902283,19.416488647460938,1.36053466796875
validation,RBS21431389_6L,1,5.1583571434021,0.36145180463790894,6.324555397033691,0.4431685507297516
validation,RBS21431389_6L,2,5.353066444396973,0.37509509921073914,1.0,0.07007110118865967
validation,RBS21431389_6L,3,4.744351863861084,0.33244186639785767,1.0,0.07007110118865967
validation,RBS21431389_6L,4,4.786253929138184,0.3353782296180725,2.0,0.14014220237731934
validation,RBS21431389_6L,5,4.170466899871826,0.29222914576530457,10.198039054870605,0.7145878076553345
validation,RBS21431389_6L,6,5.412242412567139,0.37924182415008545,3.0,0.210213303565979
validation,RBS21431389_6L,7,5.863003730773926,0.4108272194862366,5.830951690673828,0.4085812270641327
validation,RBS16737624_8L,1,13.954401969909668,0.9778002500534058,24.1867733001709,1.6947938203811646
validation,RBS16737624_8L,2,11.911269187927246,0.8346356153488159,8.246211051940918,0.5778211355209351
validation,RBS16737624_8L,3,10.322652816772461,0.7233204245567322,12.083045959472656,0.8466723561286926
validation,RBS16737624_8L,4,7.902736663818359,0.5537530183792114,3.0,0.210213303565979
validation,RBS16737624_8L,5,7.725830078125,0.5413575172424316,19.02629852294922,1.3331936597824097
validation,RBS16737624_8L,6,7.867115020751953,0.5512574911117554,16.0,1.1211376190185547
validation,RBS16737624_8L,7,8.801775932312012,0.6167501211166382,29.0,2.03206205368042
validation,RBS16988914_6R,1,8.61071491241455,0.6033622026443481,8.0,0.5605688095092773
validation,RBS16988914_6R,2,5.50333309173584,0.38562464714050293,3.0,0.210213303565979
validation,RBS16988914_6R,3,4.937039375305176,0.34594374895095825,5.830951690673828,0.4085812270641327
validation,RBS16988914_6R,4,4.640500068664551,0.3251653015613556,2.0,0.14014220237731934
validation,RBS16988914_6R,5,6.5208282470703125,0.45692190527915955,5.830951690673828,0.4085812270641327
validation,RBS16988914_6R,6,4.69564962387085,0.32902950048446655,1.4142135381698608,0.09909550100564957
validation,RBS16988914_6R,7,5.873307704925537,0.4115491807460785,3.0,0.210213303565979
validation,RBS20660747_6L,1,5.2714667320251465,0.3693774938583374,4.242640495300293,0.2972865104675293
validation,RBS20660747_6L,2,5.098668575286865,0.35726919770240784,3.605551242828369,0.25264495611190796
validation,RBS20660747_6L,3,4.566059112548828,0.3199487030506134,3.0,0.210213303565979
validation,RBS20660747_6L,4,8.106087684631348,0.5680022239685059,3.1622776985168457,0.2215842753648758
validation,RBS20660747_6L,5,5.44326114654541,0.38141539692878723,6.7082037925720215,0.47005122900009155
validation,RBS20660747_6L,6,4.793990135192871,0.33591994643211365,5.0,0.35035550594329834
validation,RBS20660747_6L,7,6.112955093383789,0.42834168672561646,15.81138801574707,1.1079213619232178
validation,RBS19591513_5L,1,11.269171714782715,0.7896432876586914,26.0,1.8218486309051514
validation,RBS19591513_5L,2,11.272411346435547,0.7898703813552856,16.278820037841797,1.1406749486923218
validation,RBS19591513_5L,3,8.360584259033203,0.585835337638855,21.470911026000977,1.5044903755187988
validation,RBS19591513_5L,4,6.808224201202393,0.4770592749118805,3.605551242828369,0.25264495611190796
validation,RBS19591513_5L,5,7.322587013244629,0.5131016969680786,16.0,1.1211376190185547
validation,RBS19591513_5L,6,6.677209377288818,0.467879980802536,3.1622776985168457,0.2215842753648758
validation,RBS19591513_5L,7,35.305904388427734,2.473923683166504,7.6157732009887695,0.5336456298828125
validation,RBS13504901_3R,1,4.787264823913574,0.33544889092445374,8.0,0.5605688095092773
validation,RBS13504901_3R,2,5.229495048522949,0.36643627285957336,3.0,0.210213303565979
