split,id,landmark_index,ere,ere_mm,true_radial_error_px,true_radial_error_mm
validation,RBS15163041_11L,7,10.156271934509277,0.7116609215736389,57.28001403808594,4.013673305511475
validation,RBS17231466_6L,1,5.931186676025391,0.41560477018356323,3.1622776985168457,0.2215842753648758
validation,RBS17231466_6L,2,6.767248153686523,0.4741883873939514,1.0,0.07007110118865967
validation,RBS17231466_6L,3,5.361908435821533,0.3757149279117584,2.2360680103302,0.15668374300003052
validation,RBS17231466_6L,4,6.211063385009766,0.4352159798145294,5.385164737701416,0.37734442949295044
validation,RBS17231466_6L,5,6.557650089263916,0.4595015048980713,0.0,0.0
validation,RBS17231466_6L,6,5.370136737823486,0.3762914538383484,2.0,0.14014220237731934
validation,RBS17231466_6L,7,5.504293441772461,0.3856913447380066,3.0,0.210213303565979
validation,RBS21824644_7L,1,5.734920978546143,0.4018521308898926,11.045360565185547,0.7739605903625488
validation,RBS21824644_7L,2,5.917165279388428,0.4146221876144409,5.830951690673828,0.4085812270641327
validation,RBS21824644_7L,3,4.251662254333496,0.29791882634162903,2.2360680103302,0.15668374300003052
validation,RBS21824644_7L,4,6.019848823547363,0.42181727290153503,4.242640495300293,0.2972865104675293
validation,RBS21824644_7L,5,6.857952117919922,0.48054420948028564,8.5440034866333,0.5986877679824829
validation,RBS21824644_7L,6,5.23411226272583,0.36676010489463806,16.278820037841797,1.1406749486923218
validation,RBS21824644_7L,7,11.262694358825684,0.7891896367073059,23.021728515625,1.613157868385315
validation,RBS16627388_6L,1,5.595542907714844,0.39208585023880005,3.1622776985168457,0.2215842753648758
validation,RBS16627388_6L,2,5.069310188293457,0.3552122712135315,6.7082037925720215,0.47005122900009155
